Cannot find active Leave Period,找不到有效的休假期
Evaluation,評估
Show Employee,顯示員工
Bonus Payment Date,獎金支付日期
HRA as per Salary Structure,HRA根據薪資結構
Leave Type Name,休假類型名稱
Employee Tax Exemption Sub Category,員工免稅子類別
Total Estimated Cost,預計總成本
Service Expense,服務費用
Salary Structure Missing,薪酬結構缺失
Brake Oil,剎車油
Leave Policy Details,退出政策詳情
Please set default template for Leave Status Notification in HR Settings.,請在人力資源設置中設置離職狀態通知的默認模板。
Event Location,活動地點
Daily Work Summary,每日工作總結
Tax on flexible benefit,對靈活福利徵稅
Validate Attendance,驗證出席
Purpose of Travel,旅行目的
Payroll Periods,工資期間
Daily Work Summary Group,日常工作總結小組
Shift Request,移位請求
Select Terms and Conditions,選擇條款和條件
Check-out Date,離開日期
Allow Negative Balance,允許負平衡
Add unused leaves from previous allocations,從以前的分配添加未使用的休假
Net Pay cannot be less than 0,淨工資不能低於0,
Leaves per Year,每年葉
Leave Blocked,禁假的
Bank Entries,銀行條目
Please confirm once you have completed your training,完成培訓後請確認
Inspection,檢查
Emails salary slip to employee based on preferred email selected in Employee,電子郵件工資單員工根據員工選擇首選的電子郵件
Cover Letter,求職信
Expense Proof,費用證明
Application period cannot be across two allocation records,申請期限不能跨越兩個分配記錄
{0} already allocated for Employee {1} for period {2} to {3},{0}已分配給員工{1}週期為{2}到{3}
Allow Encashment,允許封裝
Leave Approver Name,離開批准人姓名
Job Offer Term,招聘條件
Medical,醫療
Work From Date,從日期開始工作
Non-Vegetarian,非素食主義者
Show Leaves Of All Department Members In Calendar,在日曆中顯示所有部門成員的葉子
Oil Change,換油
Leave Balance,保持平衡
Description of a Job Opening,一個空缺職位的說明
Salary Component for timesheet based payroll.,薪酬部分基於時間表工資。
Workshop,作坊
Rented From Date,從日期租用
Planned number of Positions,計劃的職位數量
Costing Details,成本計算詳情
Incentive Amount,激勵金額
Create Salary Slips,創建工資單
Salary Slip Timesheet,工資單時間表
Course,課程
Half day date should be in between from date and to date,半天的日期應該在從日期到日期之間
Half Day Date is mandatory,半天日期是強制性的
Resume Attachment,簡歷附
Note: Total allocated leaves {0} shouldn't be less than already approved leaves {1} for the period,注：總分配葉{0}應不低於已核定葉{1}期間
Please set the Company,請設定公司
Training Result Employee,訓練結果員工
Select Payment Account to make Bank Entry,選擇付款科目，使銀行進入
Claimed Amount,聲明金額
Departure Datetime,離開日期時間
Travel Request Costing,旅行請求成本計算
Employee Onboarding Template,員工入職模板
Row {0}# Paid Amount cannot be greater than requested advance amount,行{0}＃付費金額不能大於請求的提前金額
Conference,會議
Default Salary Structure,默認工資結構
Vehicle Service,汽車服務
Employee Promotion Details,員工促銷詳情
Select Property,選擇屬性
Work End Date,工作結束日期
Base,基礎
Travel To,前往
Allow User,允許用戶
Service Details,服務細節
Service Details,服務細節
Submitting Salary Slips...,提交工資單......
Preview Salary Slip,預覽工資單
There is no leave period in between {0} and {1},{0}和{1}之間沒有休假期限
Expense Type,費用類型
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',請通過點擊“培訓反饋”，然後點擊“新建”
Max Benefit Amount,最大福利金額
{0}: From {0} of type {1},{0}：從{0}類型{1}
Expense Claim Type,費用報銷型
Max benefits should be greater than zero to dispense benefits,最大的好處應該大於零來分配好處
Shift Assignment,班次分配
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,制裁金額不能大於索賠額行{0}。
Do not include in total,不包括在內
No employee found,無發現任何員工
Event Status,事件狀態
Score must be less than or equal to 5,得分必須小於或等於5,
Employee Property History,員工財產歷史
Select Users,選擇用戶
Payroll Employee Detail,薪資員工詳細信息
Import Attendance,進口出席
Brake Pad,剎車片
Leave Block List Date,休假區塊清單日期表
Odometer Reading,里程表讀數
Encashment Threshold Days,封存閾值天數
Include holidays in Total no. of Working Days,包括節假日的總數。工作日
Activity Name,活動名稱
Number Of Employees,在職員工人數
Employee {0} is not active or does not exist,員工{0}不活躍或不存在
Total in words,總計大寫
Employee Advance Summary,員工提前總結
Salary Slips Submitted,提交工資單
Publish on website,發布在網站上
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,默認銀行/現金帳戶時，會選擇此模式可以自動在工資日記條目更新。
Total leaves allocated is mandatory for Leave Type {0},為假期類型{0}分配的總分配數是強制性的
Total Advance Amount,總預付金額
Walk In,走在
Added to details,添加到細節
Stock Options,庫存期權
Leave Application,休假申請
