) for {0},) کے لئے {0},
A {0} exists between {1} and {2} (,{1} اور {2} کے درمیان ایک {0} موجود ہے (,
Absent,غائب,
Accrual Journal Entry for salaries from {0} to {1},{0} سے {1} سے تنخواہ کے لئے اکادری جرنل انٹری,
Add to Details,تفصیلات میں شامل کریں,
Added to details,تفصیلات میں شامل,
All Jobs,تمام ملازمتیں,
Allocated Leaves,مختص پتیوں,
Annual Salary,سالانہ تنخواہ,
Application period cannot be across two allocation records,درخواست کا دورہ دو مختص ریکارڈوں میں نہیں ہوسکتا ہے,
Application period cannot be outside leave allocation period,درخواست کی مدت کے باہر چھٹی مختص مدت نہیں ہو سکتا,
Apply Now,اب لگائیں,
Apprentice,شکشو,
Approval Status,منظوری کی حیثیت,
Approval Status must be 'Approved' or 'Rejected',منظوری کی حیثیت &#39;منظور&#39; یا &#39;مسترد&#39; ہونا ضروری ہے,
As per your assigned Salary Structure you cannot apply for benefits,آپ کے مکلف تنخواہ کی تشکیل کے مطابق آپ فوائد کے لئے درخواست نہیں دے سکتے ہیں,
Assign,مقرر کریں,
Assign Salary Structure,تنخواہ کی تشکیل کا تعین,
Assign to Employees,ملازمین کو تفویض کریں۔,
Assigning Structures...,ڈھانچے کی تفویض…,
Attendance,حاضری,
Attendance From Date and Attendance To Date is mandatory,تاریخ کے لئے تاریخ اور حاضری سے حاضری لازمی ہے,
Attendance for employee {0} is already marked for this day,ملازم {0} کے لئے حاضری پہلے ہی اس دن کے لئے نشان لگا دیا گیا,
Attendance not submitted for {0} as it is a Holiday.,حاضری {0} کے لئے پیش نہیں کی گئی کیونکہ یہ ایک چھٹی ہے.,
Bank Entries,بینک لکھے,
Base,بنیاد,
Beginner,شروع,
Birthday Reminder,سالگرہ کا یاد دہانی,
Bonus Payment Date cannot be a past date,بونس ادائیگی کی تاریخ پچھلے تاریخ نہیں ہوسکتی ہے,
Calls,کالیں,
Cannot find active Leave Period,فعال چھوڑ مدت نہیں مل سکا,
Casual Leave,آرام دہ اور پرسکون کی رخصت,
Claimed Amount,دعوی رقم,
Compensatory Off,مائکر آف,
Contact Number,رابطہ نمبر,
Course,کورس,
Create Disbursement Entry,تقسیم انٹری بنائیں۔,
Create Salary Slip,تنخواہ پرچی بنائیں,
Create Salary Slips,تنخواہ سلپس بنائیں,
